text,label
I love this product!,positive
What a wonderful day!,positive
I’m feeling great today.,positive
Everything is awesome!,positive
I'm so excited for the trip.,positive
Life is beautiful.,positive
You’re the best!,positive
I’m very satisfied.,positive
It makes me happy.,positive
That was a fantastic experience.,positive
I enjoy learning new things.,positive
You did a great job!,positive
Such a pleasant surprise.,positive
This is amazing!,positive
I’m grateful for everything.,positive
I'm thrilled with the results.,positive
It was a lovely gesture.,positive
So happy to be here.,positive
I appreciate your help.,positive
Today is a good day.,positive
I'm not feeling well.,negative
This is terrible.,negative
I’m sad right now.,negative
I failed my test.,negative
That was disappointing.,negative
Everything is going wrong.,negative
I hate this!,negative
I feel miserable.,negative
I’m really upset.,negative
He’s so rude.,negative
This is frustrating.,negative
I can't take it anymore.,negative
I feel like giving up.,negative
It's not working.,negative
I’m angry and tired.,negative
That was the worst.,negative
This makes me cry.,negative
I'm having a bad day.,negative
I dislike this situation.,negative
It’s really annoying.,negative
I have class today.,neutral
I'm working on my project.,neutral
I went shopping.,neutral
It’s just a regular day.,neutral
I’m eating lunch.,neutral
She is at school.,neutral
We are planning a trip.,neutral
He is watching TV.,neutral
The meeting is at 4 PM.,neutral
I’m reading a book.,neutral
My room is clean.,neutral
They are going home.,neutral
It's raining outside.,neutral
She called me yesterday.,neutral
We played a game.,neutral
He is fixing his car.,neutral
Nothing special today.,neutral
She wore a blue dress.,neutral
Just relaxing at home.,neutral
I love this!,positive
This is great,positive
I'm very happy today,positive
You are amazing,positive
What a wonderful day,positive
Life is beautiful,positive
I enjoyed the movie,positive
Everything is awesome,positive
You did a great job,positive
I'm so proud of you,positive
This is bad,negative
I hate this,negative
I'm feeling sad,negative
This is the worst,negative
I’m disappointed,negative
Nothing works here,negative
You're so annoying,negative
I can’t take this anymore,negative
Everything is ruined,negative
I'm angry,negative
It's okay,neutral
I'm fine,neutral
I’m doing my homework,neutral
How are you?,neutral
I’ll be there soon,neutral
Maybe later,neutral
I am just saying,neutral
What do you think?,neutral
Let’s see,neutral
Okay then,neutral

